Epoch 1/100, Train Loss: 2.8931, Train Acc: 2.78%, Val Loss: 2.5807, Val Acc: 0.00%, Time: 0min 12.4s
Epoch 2/100, Train Loss: 2.3297, Train Acc: 3.37%, Val Loss: 1.9597, Val Acc: 0.39%, Time: 0min 10.0s
Epoch 3/100, Train Loss: 2.0488, Train Acc: 4.69%, Val Loss: 1.8578, Val Acc: 3.58%, Time: 0min 10.0s
Epoch 4/100, Train Loss: 1.8474, Train Acc: 5.19%, Val Loss: 1.7060, Val Acc: 6.59%, Time: 0min 10.0s
Epoch 5/100, Train Loss: 1.6577, Train Acc: 6.02%, Val Loss: 1.5546, Val Acc: 10.71%, Time: 0min 10.0s
Epoch 6/100, Train Loss: 1.5079, Train Acc: 7.61%, Val Loss: 1.4327, Val Acc: 12.97%, Time: 0min 10.0s
Epoch 7/100, Train Loss: 1.3523, Train Acc: 8.19%, Val Loss: 1.2664, Val Acc: 13.90%, Time: 0min 10.0s
Epoch 8/100, Train Loss: 1.2181, Train Acc: 9.23%, Val Loss: 1.1434, Val Acc: 13.41%, Time: 0min 10.0s
Epoch 9/100, Train Loss: 1.0909, Train Acc: 9.93%, Val Loss: 1.0364, Val Acc: 14.57%, Time: 0min 10.0s
Epoch 10/100, Train Loss: 0.9921, Train Acc: 10.15%, Val Loss: 0.9436, Val Acc: 15.76%, Time: 0min 10.0s
Epoch 11/100, Train Loss: 0.8890, Train Acc: 11.64%, Val Loss: 0.8418, Val Acc: 15.83%, Time: 0min 10.0s
Epoch 12/100, Train Loss: 0.7969, Train Acc: 11.53%, Val Loss: 0.7500, Val Acc: 15.87%, Time: 0min 10.0s
Epoch 13/100, Train Loss: 0.7235, Train Acc: 12.52%, Val Loss: 0.6920, Val Acc: 16.20%, Time: 0min 10.0s
Epoch 14/100, Train Loss: 0.6491, Train Acc: 12.44%, Val Loss: 0.6080, Val Acc: 18.01%, Time: 0min 10.0s
Epoch 15/100, Train Loss: 0.6063, Train Acc: 13.68%, Val Loss: 0.5380, Val Acc: 18.21%, Time: 0min 10.0s
Epoch 16/100, Train Loss: 0.5410, Train Acc: 14.08%, Val Loss: 0.5037, Val Acc: 18.79%, Time: 0min 10.0s
Epoch 17/100, Train Loss: 0.5003, Train Acc: 15.33%, Val Loss: 0.4454, Val Acc: 20.31%, Time: 0min 10.0s
Epoch 18/100, Train Loss: 0.4558, Train Acc: 15.63%, Val Loss: 0.4069, Val Acc: 22.66%, Time: 0min 10.0s
Epoch 19/100, Train Loss: 0.4299, Train Acc: 16.61%, Val Loss: 0.3724, Val Acc: 23.84%, Time: 0min 10.1s
Epoch 20/100, Train Loss: 0.4062, Train Acc: 17.88%, Val Loss: 0.3367, Val Acc: 24.93%, Time: 0min 10.0s
Epoch 21/100, Train Loss: 0.3737, Train Acc: 19.08%, Val Loss: 0.3139, Val Acc: 26.04%, Time: 0min 10.0s
Epoch 22/100, Train Loss: 0.3530, Train Acc: 20.49%, Val Loss: 0.3124, Val Acc: 27.52%, Time: 0min 10.0s
Epoch 23/100, Train Loss: 0.3257, Train Acc: 22.07%, Val Loss: 0.2841, Val Acc: 28.77%, Time: 0min 10.0s
Epoch 24/100, Train Loss: 0.3062, Train Acc: 22.77%, Val Loss: 0.2607, Val Acc: 30.87%, Time: 0min 10.0s
Epoch 25/100, Train Loss: 0.2903, Train Acc: 23.86%, Val Loss: 0.2462, Val Acc: 30.56%, Time: 0min 10.0s
Epoch 26/100, Train Loss: 0.2703, Train Acc: 25.32%, Val Loss: 0.2381, Val Acc: 32.80%, Time: 0min 10.0s
Epoch 27/100, Train Loss: 0.2721, Train Acc: 26.13%, Val Loss: 0.2331, Val Acc: 32.92%, Time: 0min 10.0s
Epoch 28/100, Train Loss: 0.2542, Train Acc: 28.60%, Val Loss: 0.2126, Val Acc: 32.15%, Time: 0min 10.0s
Epoch 29/100, Train Loss: 0.2454, Train Acc: 29.12%, Val Loss: 0.2089, Val Acc: 34.32%, Time: 0min 10.0s
Epoch 30/100, Train Loss: 0.2341, Train Acc: 30.20%, Val Loss: 0.2068, Val Acc: 32.25%, Time: 0min 10.0s
Epoch 31/100, Train Loss: 0.2255, Train Acc: 30.20%, Val Loss: 0.1951, Val Acc: 35.72%, Time: 0min 10.0s
Epoch 32/100, Train Loss: 0.2151, Train Acc: 30.55%, Val Loss: 0.1824, Val Acc: 35.82%, Time: 0min 10.0s
Epoch 33/100, Train Loss: 0.2122, Train Acc: 31.90%, Val Loss: 0.1767, Val Acc: 36.01%, Time: 0min 10.1s
Epoch 34/100, Train Loss: 0.1981, Train Acc: 33.35%, Val Loss: 0.1705, Val Acc: 36.66%, Time: 0min 10.0s
Epoch 35/100, Train Loss: 0.1898, Train Acc: 34.73%, Val Loss: 0.1642, Val Acc: 39.49%, Time: 0min 10.1s
Epoch 36/100, Train Loss: 0.1894, Train Acc: 35.75%, Val Loss: 0.1602, Val Acc: 40.97%, Time: 0min 10.0s
Epoch 37/100, Train Loss: 0.1861, Train Acc: 37.84%, Val Loss: 0.1528, Val Acc: 41.41%, Time: 0min 10.0s
Epoch 38/100, Train Loss: 0.1731, Train Acc: 38.75%, Val Loss: 0.1499, Val Acc: 42.33%, Time: 0min 10.0s
Epoch 39/100, Train Loss: 0.1713, Train Acc: 39.79%, Val Loss: 0.1466, Val Acc: 41.68%, Time: 0min 10.0s
Epoch 40/100, Train Loss: 0.1691, Train Acc: 40.51%, Val Loss: 0.1446, Val Acc: 43.21%, Time: 0min 10.0s
Epoch 41/100, Train Loss: 0.1631, Train Acc: 40.97%, Val Loss: 0.1411, Val Acc: 42.81%, Time: 0min 10.0s
Epoch 42/100, Train Loss: 0.1604, Train Acc: 42.69%, Val Loss: 0.1364, Val Acc: 45.34%, Time: 0min 10.0s
Epoch 43/100, Train Loss: 0.1521, Train Acc: 43.10%, Val Loss: 0.1329, Val Acc: 46.63%, Time: 0min 10.0s
Epoch 44/100, Train Loss: 0.1502, Train Acc: 43.98%, Val Loss: 0.1292, Val Acc: 46.82%, Time: 0min 10.0s
Epoch 45/100, Train Loss: 0.1494, Train Acc: 44.52%, Val Loss: 0.1264, Val Acc: 48.36%, Time: 0min 10.0s
Epoch 46/100, Train Loss: 0.1439, Train Acc: 45.53%, Val Loss: 0.1257, Val Acc: 47.73%, Time: 0min 10.0s
Epoch 47/100, Train Loss: 0.1385, Train Acc: 47.34%, Val Loss: 0.1238, Val Acc: 47.65%, Time: 0min 10.0s
Epoch 48/100, Train Loss: 0.1377, Train Acc: 48.57%, Val Loss: 0.1199, Val Acc: 48.82%, Time: 0min 10.0s
Epoch 49/100, Train Loss: 0.1357, Train Acc: 47.97%, Val Loss: 0.1190, Val Acc: 47.36%, Time: 0min 10.0s
Epoch 50/100, Train Loss: 0.1336, Train Acc: 48.18%, Val Loss: 0.1178, Val Acc: 49.91%, Time: 0min 10.0s
Epoch 51/100, Train Loss: 0.1290, Train Acc: 49.12%, Val Loss: 0.1160, Val Acc: 50.63%, Time: 0min 10.0s
Epoch 52/100, Train Loss: 0.1260, Train Acc: 50.13%, Val Loss: 0.1112, Val Acc: 52.14%, Time: 0min 10.0s
Epoch 53/100, Train Loss: 0.1229, Train Acc: 52.25%, Val Loss: 0.1099, Val Acc: 51.72%, Time: 0min 10.0s
Epoch 54/100, Train Loss: 0.1236, Train Acc: 52.06%, Val Loss: 0.1089, Val Acc: 51.06%, Time: 0min 10.0s
Epoch 55/100, Train Loss: 0.1192, Train Acc: 52.71%, Val Loss: 0.1080, Val Acc: 51.19%, Time: 0min 10.0s
Epoch 56/100, Train Loss: 0.1176, Train Acc: 53.80%, Val Loss: 0.1078, Val Acc: 51.04%, Time: 0min 10.0s
Epoch 57/100, Train Loss: 0.1149, Train Acc: 54.81%, Val Loss: 0.1043, Val Acc: 51.94%, Time: 0min 10.0s
Epoch 58/100, Train Loss: 0.1149, Train Acc: 54.72%, Val Loss: 0.1058, Val Acc: 52.48%, Time: 0min 10.0s
Epoch 59/100, Train Loss: 0.1115, Train Acc: 57.14%, Val Loss: 0.1027, Val Acc: 53.20%, Time: 0min 10.0s
Epoch 60/100, Train Loss: 0.1082, Train Acc: 56.58%, Val Loss: 0.1005, Val Acc: 53.65%, Time: 0min 10.0s
