Epoch 1/100, Train Loss: 3.2904, Train Acc: 5.50%, Val Loss: 3.4169, Val Acc: 4.01%, Time: 0min 7.9s
Epoch 2/100, Train Loss: 2.8441, Train Acc: 6.41%, Val Loss: 2.9163, Val Acc: 3.78%, Time: 0min 6.2s
Epoch 3/100, Train Loss: 2.6493, Train Acc: 7.80%, Val Loss: 2.6492, Val Acc: 4.23%, Time: 0min 6.2s
Epoch 4/100, Train Loss: 2.5041, Train Acc: 9.78%, Val Loss: 2.4900, Val Acc: 9.43%, Time: 0min 6.3s
Epoch 5/100, Train Loss: 2.3848, Train Acc: 11.70%, Val Loss: 2.4041, Val Acc: 16.37%, Time: 0min 6.2s
Epoch 6/100, Train Loss: 2.2690, Train Acc: 14.08%, Val Loss: 2.2412, Val Acc: 16.48%, Time: 0min 6.2s
Epoch 7/100, Train Loss: 2.1629, Train Acc: 15.10%, Val Loss: 2.1130, Val Acc: 17.38%, Time: 0min 6.2s
Epoch 8/100, Train Loss: 2.0513, Train Acc: 16.35%, Val Loss: 2.0330, Val Acc: 20.23%, Time: 0min 6.2s
Epoch 9/100, Train Loss: 1.9443, Train Acc: 17.33%, Val Loss: 1.9274, Val Acc: 20.87%, Time: 0min 6.2s
Epoch 10/100, Train Loss: 1.8593, Train Acc: 18.59%, Val Loss: 1.8099, Val Acc: 22.44%, Time: 0min 6.2s
Epoch 11/100, Train Loss: 1.7364, Train Acc: 18.91%, Val Loss: 1.6684, Val Acc: 24.49%, Time: 0min 6.2s
Epoch 12/100, Train Loss: 1.6481, Train Acc: 20.94%, Val Loss: 1.6400, Val Acc: 25.95%, Time: 0min 6.2s
Epoch 13/100, Train Loss: 1.5582, Train Acc: 20.95%, Val Loss: 1.5301, Val Acc: 27.83%, Time: 0min 6.2s
Epoch 14/100, Train Loss: 1.4570, Train Acc: 21.94%, Val Loss: 1.4320, Val Acc: 27.62%, Time: 0min 6.2s
Epoch 15/100, Train Loss: 1.3712, Train Acc: 22.61%, Val Loss: 1.3641, Val Acc: 28.70%, Time: 0min 6.2s
Epoch 16/100, Train Loss: 1.2853, Train Acc: 22.83%, Val Loss: 1.2862, Val Acc: 28.74%, Time: 0min 6.2s
Epoch 17/100, Train Loss: 1.2106, Train Acc: 24.18%, Val Loss: 1.2300, Val Acc: 29.48%, Time: 0min 6.2s
Epoch 18/100, Train Loss: 1.1233, Train Acc: 23.52%, Val Loss: 1.1352, Val Acc: 28.85%, Time: 0min 6.2s
Epoch 19/100, Train Loss: 1.0630, Train Acc: 24.56%, Val Loss: 1.0484, Val Acc: 29.48%, Time: 0min 6.2s
Epoch 20/100, Train Loss: 0.9892, Train Acc: 26.07%, Val Loss: 0.9834, Val Acc: 29.43%, Time: 0min 6.2s
Epoch 21/100, Train Loss: 0.9380, Train Acc: 25.75%, Val Loss: 0.9591, Val Acc: 30.23%, Time: 0min 6.2s
Epoch 22/100, Train Loss: 0.8643, Train Acc: 26.91%, Val Loss: 0.8584, Val Acc: 31.11%, Time: 0min 6.2s
Epoch 23/100, Train Loss: 0.8113, Train Acc: 28.04%, Val Loss: 0.7635, Val Acc: 32.83%, Time: 0min 6.2s
Epoch 24/100, Train Loss: 0.7534, Train Acc: 29.05%, Val Loss: 0.7326, Val Acc: 34.09%, Time: 0min 6.2s
Epoch 25/100, Train Loss: 0.7107, Train Acc: 30.87%, Val Loss: 0.6705, Val Acc: 36.23%, Time: 0min 6.2s
Epoch 26/100, Train Loss: 0.6736, Train Acc: 30.07%, Val Loss: 0.6459, Val Acc: 34.90%, Time: 0min 6.2s
Epoch 27/100, Train Loss: 0.6378, Train Acc: 31.21%, Val Loss: 0.5877, Val Acc: 36.13%, Time: 0min 6.2s
Epoch 28/100, Train Loss: 0.6034, Train Acc: 33.02%, Val Loss: 0.5364, Val Acc: 36.59%, Time: 0min 6.2s
Epoch 29/100, Train Loss: 0.5697, Train Acc: 33.72%, Val Loss: 0.5199, Val Acc: 35.76%, Time: 0min 6.2s
Epoch 30/100, Train Loss: 0.5266, Train Acc: 33.58%, Val Loss: 0.4927, Val Acc: 38.79%, Time: 0min 6.2s
Epoch 31/100, Train Loss: 0.4950, Train Acc: 34.82%, Val Loss: 0.4662, Val Acc: 40.20%, Time: 0min 6.2s
Epoch 32/100, Train Loss: 0.4734, Train Acc: 37.51%, Val Loss: 0.4392, Val Acc: 40.63%, Time: 0min 6.2s
Epoch 33/100, Train Loss: 0.4426, Train Acc: 38.74%, Val Loss: 0.4152, Val Acc: 39.94%, Time: 0min 6.3s
Epoch 34/100, Train Loss: 0.4233, Train Acc: 38.83%, Val Loss: 0.3682, Val Acc: 42.91%, Time: 0min 6.2s
Epoch 35/100, Train Loss: 0.4053, Train Acc: 40.48%, Val Loss: 0.3583, Val Acc: 43.55%, Time: 0min 6.2s
Epoch 36/100, Train Loss: 0.3888, Train Acc: 40.95%, Val Loss: 0.3759, Val Acc: 43.06%, Time: 0min 6.2s
Epoch 37/100, Train Loss: 0.3631, Train Acc: 42.84%, Val Loss: 0.3399, Val Acc: 43.64%, Time: 0min 6.2s
Epoch 38/100, Train Loss: 0.3535, Train Acc: 43.99%, Val Loss: 0.3069, Val Acc: 45.72%, Time: 0min 6.2s
Epoch 39/100, Train Loss: 0.3413, Train Acc: 44.51%, Val Loss: 0.2978, Val Acc: 46.20%, Time: 0min 6.2s
Epoch 40/100, Train Loss: 0.3186, Train Acc: 45.46%, Val Loss: 0.2970, Val Acc: 45.84%, Time: 0min 6.2s
Epoch 41/100, Train Loss: 0.3081, Train Acc: 45.38%, Val Loss: 0.2927, Val Acc: 43.46%, Time: 0min 6.2s
Epoch 42/100, Train Loss: 0.2975, Train Acc: 46.17%, Val Loss: 0.2821, Val Acc: 46.27%, Time: 0min 6.2s
Epoch 43/100, Train Loss: 0.2879, Train Acc: 47.75%, Val Loss: 0.2592, Val Acc: 47.88%, Time: 0min 6.2s
Epoch 44/100, Train Loss: 0.2743, Train Acc: 48.50%, Val Loss: 0.2614, Val Acc: 47.87%, Time: 0min 6.2s
Epoch 45/100, Train Loss: 0.2737, Train Acc: 48.88%, Val Loss: 0.2514, Val Acc: 47.93%, Time: 0min 6.2s
Epoch 46/100, Train Loss: 0.2596, Train Acc: 49.41%, Val Loss: 0.2353, Val Acc: 48.33%, Time: 0min 6.2s
Epoch 47/100, Train Loss: 0.2478, Train Acc: 50.99%, Val Loss: 0.2226, Val Acc: 50.88%, Time: 0min 6.2s
Epoch 48/100, Train Loss: 0.2375, Train Acc: 52.15%, Val Loss: 0.2226, Val Acc: 49.29%, Time: 0min 6.2s
Epoch 49/100, Train Loss: 0.2339, Train Acc: 52.19%, Val Loss: 0.2209, Val Acc: 49.55%, Time: 0min 6.2s
Epoch 50/100, Train Loss: 0.2217, Train Acc: 52.28%, Val Loss: 0.2101, Val Acc: 48.70%, Time: 0min 6.2s
Epoch 51/100, Train Loss: 0.2148, Train Acc: 54.28%, Val Loss: 0.2035, Val Acc: 50.55%, Time: 0min 6.3s
Epoch 52/100, Train Loss: 0.2053, Train Acc: 54.78%, Val Loss: 0.2016, Val Acc: 50.28%, Time: 0min 6.2s
Epoch 53/100, Train Loss: 0.2011, Train Acc: 55.52%, Val Loss: 0.1964, Val Acc: 49.92%, Time: 0min 6.2s
Epoch 54/100, Train Loss: 0.1983, Train Acc: 55.55%, Val Loss: 0.1892, Val Acc: 50.90%, Time: 0min 6.2s
Epoch 55/100, Train Loss: 0.1911, Train Acc: 57.09%, Val Loss: 0.1837, Val Acc: 51.89%, Time: 0min 6.2s
Epoch 56/100, Train Loss: 0.1838, Train Acc: 57.39%, Val Loss: 0.1823, Val Acc: 51.38%, Time: 0min 6.2s
Epoch 57/100, Train Loss: 0.1780, Train Acc: 57.25%, Val Loss: 0.1771, Val Acc: 52.47%, Time: 0min 6.2s
Epoch 58/100, Train Loss: 0.1781, Train Acc: 57.82%, Val Loss: 0.1676, Val Acc: 52.66%, Time: 0min 6.2s
Epoch 59/100, Train Loss: 0.1674, Train Acc: 59.01%, Val Loss: 0.1698, Val Acc: 52.93%, Time: 0min 6.2s
Epoch 60/100, Train Loss: 0.1634, Train Acc: 60.02%, Val Loss: 0.1658, Val Acc: 50.70%, Time: 0min 6.2s
Epoch 61/100, Train Loss: 0.1617, Train Acc: 60.32%, Val Loss: 0.1621, Val Acc: 52.01%, Time: 0min 6.2s
Epoch 62/100, Train Loss: 0.1555, Train Acc: 61.21%, Val Loss: 0.1569, Val Acc: 54.00%, Time: 0min 6.2s
Epoch 63/100, Train Loss: 0.1522, Train Acc: 61.85%, Val Loss: 0.1598, Val Acc: 53.16%, Time: 0min 6.2s
Epoch 64/100, Train Loss: 0.1475, Train Acc: 62.55%, Val Loss: 0.1574, Val Acc: 52.15%, Time: 0min 6.2s
