Epoch 47/100, Train Loss: 0.2882, Train Acc: 39.79%, Val Loss: 0.2457, Val Acc: 43.94%, Time: 0min 7.2s
Epoch 48/100, Train Loss: 0.2799, Train Acc: 40.69%, Val Loss: 0.2428, Val Acc: 45.21%, Time: 0min 7.2s
Epoch 49/100, Train Loss: 0.2768, Train Acc: 41.34%, Val Loss: 0.2428, Val Acc: 41.84%, Time: 0min 7.1s
Epoch 50/100, Train Loss: 0.2739, Train Acc: 42.02%, Val Loss: 0.2311, Val Acc: 45.69%, Time: 0min 7.0s
Epoch 51/100, Train Loss: 0.2553, Train Acc: 42.77%, Val Loss: 0.2242, Val Acc: 45.93%, Time: 0min 7.2s
Epoch 52/100, Train Loss: 0.2658, Train Acc: 44.71%, Val Loss: 0.2161, Val Acc: 47.08%, Time: 0min 7.0s
Epoch 53/100, Train Loss: 0.2452, Train Acc: 43.14%, Val Loss: 0.2052, Val Acc: 46.56%, Time: 0min 7.4s
Epoch 54/100, Train Loss: 0.2371, Train Acc: 45.28%, Val Loss: 0.2045, Val Acc: 45.68%, Time: 0min 7.1s
Epoch 55/100, Train Loss: 0.2311, Train Acc: 45.33%, Val Loss: 0.2048, Val Acc: 47.13%, Time: 0min 7.2s
Epoch 56/100, Train Loss: 0.2246, Train Acc: 45.39%, Val Loss: 0.1984, Val Acc: 44.07%, Time: 0min 7.3s
Epoch 57/100, Train Loss: 0.2292, Train Acc: 46.12%, Val Loss: 0.1840, Val Acc: 48.16%, Time: 0min 7.0s
Epoch 58/100, Train Loss: 0.2131, Train Acc: 47.58%, Val Loss: 0.1823, Val Acc: 48.57%, Time: 0min 7.2s
Epoch 59/100, Train Loss: 0.2168, Train Acc: 47.82%, Val Loss: 0.1826, Val Acc: 48.83%, Time: 0min 7.2s
Epoch 60/100, Train Loss: 0.2039, Train Acc: 48.29%, Val Loss: 0.1784, Val Acc: 48.08%, Time: 0min 7.2s
Epoch 61/100, Train Loss: 0.2046, Train Acc: 48.76%, Val Loss: 0.1705, Val Acc: 49.92%, Time: 0min 7.1s
Epoch 62/100, Train Loss: 0.1909, Train Acc: 49.15%, Val Loss: 0.1694, Val Acc: 47.95%, Time: 0min 7.1s
Epoch 63/100, Train Loss: 0.1934, Train Acc: 49.43%, Val Loss: 0.1675, Val Acc: 48.50%, Time: 0min 6.7s
Epoch 64/100, Train Loss: 0.1937, Train Acc: 50.95%, Val Loss: 0.1611, Val Acc: 49.83%, Time: 0min 6.6s
Epoch 65/100, Train Loss: 0.1894, Train Acc: 50.68%, Val Loss: 0.1584, Val Acc: 51.10%, Time: 0min 6.8s
Epoch 66/100, Train Loss: 0.1739, Train Acc: 51.85%, Val Loss: 0.1553, Val Acc: 51.87%, Time: 0min 7.2s
Epoch 67/100, Train Loss: 0.1760, Train Acc: 51.96%, Val Loss: 0.1561, Val Acc: 50.91%, Time: 0min 6.9s
Epoch 68/100, Train Loss: 0.1740, Train Acc: 53.15%, Val Loss: 0.1531, Val Acc: 51.57%, Time: 0min 7.4s
Epoch 69/100, Train Loss: 0.1669, Train Acc: 53.97%, Val Loss: 0.1514, Val Acc: 51.81%, Time: 0min 7.3s
Epoch 70/100, Train Loss: 0.1671, Train Acc: 54.14%, Val Loss: 0.1469, Val Acc: 52.28%, Time: 0min 7.0s
Epoch 71/100, Train Loss: 0.1632, Train Acc: 55.04%, Val Loss: 0.1442, Val Acc: 51.52%, Time: 0min 7.2s
Epoch 72/100, Train Loss: 0.1574, Train Acc: 54.74%, Val Loss: 0.1422, Val Acc: 52.25%, Time: 0min 7.3s
Epoch 73/100, Train Loss: 0.1531, Train Acc: 55.32%, Val Loss: 0.1427, Val Acc: 53.25%, Time: 0min 7.0s
Epoch 74/100, Train Loss: 0.1536, Train Acc: 56.05%, Val Loss: 0.1402, Val Acc: 52.87%, Time: 0min 7.3s
Epoch 75/100, Train Loss: 0.1473, Train Acc: 57.49%, Val Loss: 0.1356, Val Acc: 53.09%, Time: 0min 7.2s
Epoch 76/100, Train Loss: 0.1464, Train Acc: 57.02%, Val Loss: 0.1384, Val Acc: 52.55%, Time: 0min 6.9s
Epoch 77/100, Train Loss: 0.1444, Train Acc: 58.03%, Val Loss: 0.1341, Val Acc: 52.40%, Time: 0min 6.9s
Epoch 78/100, Train Loss: 0.1415, Train Acc: 58.67%, Val Loss: 0.1333, Val Acc: 52.91%, Time: 0min 7.1s
Epoch 79/100, Train Loss: 0.1344, Train Acc: 59.33%, Val Loss: 0.1305, Val Acc: 55.15%, Time: 0min 7.0s
Epoch 80/100, Train Loss: 0.1338, Train Acc: 60.73%, Val Loss: 0.1300, Val Acc: 54.83%, Time: 0min 7.0s
Epoch 81/100, Train Loss: 0.1340, Train Acc: 60.58%, Val Loss: 0.1297, Val Acc: 53.59%, Time: 0min 7.3s
Epoch 82/100, Train Loss: 0.1315, Train Acc: 61.00%, Val Loss: 0.1263, Val Acc: 54.61%, Time: 0min 7.3s
Epoch 83/100, Train Loss: 0.1299, Train Acc: 61.29%, Val Loss: 0.1265, Val Acc: 54.42%, Time: 0min 7.2s
Epoch 84/100, Train Loss: 0.1284, Train Acc: 61.56%, Val Loss: 0.1266, Val Acc: 54.39%, Time: 0min 7.0s
Epoch 85/100, Train Loss: 0.1296, Train Acc: 62.46%, Val Loss: 0.1265, Val Acc: 54.11%, Time: 0min 7.3s
Epoch 86/100, Train Loss: 0.1267, Train Acc: 63.16%, Val Loss: 0.1235, Val Acc: 53.94%, Time: 0min 7.1s
Epoch 87/100, Train Loss: 0.1197, Train Acc: 63.36%, Val Loss: 0.1249, Val Acc: 52.85%, Time: 0min 7.4s
Epoch 88/100, Train Loss: 0.1175, Train Acc: 64.60%, Val Loss: 0.1217, Val Acc: 54.08%, Time: 0min 7.1s
Epoch 89/100, Train Loss: 0.1113, Train Acc: 64.45%, Val Loss: 0.1220, Val Acc: 54.14%, Time: 0min 7.5s
Epoch 90/100, Train Loss: 0.1083, Train Acc: 65.54%, Val Loss: 0.1225, Val Acc: 53.98%, Time: 0min 7.2s
Epoch 91/100, Train Loss: 0.1150, Train Acc: 65.36%, Val Loss: 0.1225, Val Acc: 52.60%, Time: 0min 7.3s
Epoch 92/100, Train Loss: 0.1082, Train Acc: 66.06%, Val Loss: 0.1172, Val Acc: 55.34%, Time: 0min 7.3s
Epoch 93/100, Train Loss: 0.1056, Train Acc: 66.87%, Val Loss: 0.1187, Val Acc: 55.24%, Time: 0min 7.0s
Epoch 94/100, Train Loss: 0.1045, Train Acc: 66.17%, Val Loss: 0.1186, Val Acc: 54.17%, Time: 0min 7.3s
Epoch 95/100, Train Loss: 0.1036, Train Acc: 67.71%, Val Loss: 0.1175, Val Acc: 54.36%, Time: 0min 7.4s
Epoch 96/100, Train Loss: 0.1033, Train Acc: 68.12%, Val Loss: 0.1181, Val Acc: 54.14%, Time: 0min 6.9s
Epoch 97/100, Train Loss: 0.1004, Train Acc: 68.44%, Val Loss: 0.1157, Val Acc: 54.84%, Time: 0min 7.3s
Epoch 98/100, Train Loss: 0.0989, Train Acc: 68.56%, Val Loss: 0.1189, Val Acc: 54.96%, Time: 0min 7.1s
Epoch 99/100, Train Loss: 0.0955, Train Acc: 69.17%, Val Loss: 0.1160, Val Acc: 54.60%, Time: 0min 7.1s
Epoch 100/100, Train Loss: 0.0946, Train Acc: 69.85%, Val Loss: 0.1185, Val Acc: 53.61%, Time: 0min 7.6s
