Epoch 1/100, Train Loss: 2.3224, Val Loss: 1.8910,  Time: 0min 14.9s
Epoch 2/100, Train Loss: 1.7310, Val Loss: 1.5085,  Time: 0min 14.6s
Epoch 3/100, Train Loss: 1.3642, Val Loss: 1.1910,  Time: 0min 14.6s
Epoch 4/100, Train Loss: 1.0498, Val Loss: 0.9044,  Time: 0min 14.6s
Epoch 5/100, Train Loss: 0.8110, Val Loss: 0.7153,  Time: 0min 14.6s
Epoch 6/100, Train Loss: 0.6332, Val Loss: 0.5520,  Time: 0min 14.6s
Epoch 7/100, Train Loss: 0.5024, Val Loss: 0.4458,  Time: 0min 14.6s
Epoch 8/100, Train Loss: 0.4098, Val Loss: 0.3642,  Time: 0min 14.6s
Epoch 9/100, Train Loss: 0.3448, Val Loss: 0.3111,  Time: 0min 14.6s
Epoch 10/100, Train Loss: 0.2952, Val Loss: 0.2701,  Time: 0min 14.6s
Epoch 11/100, Train Loss: 0.2568, Val Loss: 0.2309,  Time: 0min 14.6s
Epoch 12/100, Train Loss: 0.2299, Val Loss: 0.2135,  Time: 0min 14.6s
Epoch 13/100, Train Loss: 0.2082, Val Loss: 0.1936,  Time: 0min 14.6s
Epoch 14/100, Train Loss: 0.1893, Val Loss: 0.1768,  Time: 0min 14.6s
Epoch 15/100, Train Loss: 0.1745, Val Loss: 0.1623,  Time: 0min 14.7s
Epoch 16/100, Train Loss: 0.1615, Val Loss: 0.1509,  Time: 0min 14.7s
Epoch 17/100, Train Loss: 0.1511, Val Loss: 0.1450,  Time: 0min 14.6s
Epoch 18/100, Train Loss: 0.1396, Val Loss: 0.1351,  Time: 0min 14.6s
Epoch 19/100, Train Loss: 0.1324, Val Loss: 0.1303,  Time: 0min 14.6s
Epoch 20/100, Train Loss: 0.1270, Val Loss: 0.1223,  Time: 0min 14.6s
Epoch 21/100, Train Loss: 0.1188, Val Loss: 0.1193,  Time: 0min 14.6s
Epoch 22/100, Train Loss: 0.1129, Val Loss: 0.1122,  Time: 0min 14.6s
Epoch 23/100, Train Loss: 0.1074, Val Loss: 0.1084,  Time: 0min 14.6s
Epoch 24/100, Train Loss: 0.1019, Val Loss: 0.1042,  Time: 0min 14.6s
Epoch 25/100, Train Loss: 0.0970, Val Loss: 0.0979,  Time: 0min 14.7s
Epoch 26/100, Train Loss: 0.0925, Val Loss: 0.1004,  Time: 0min 14.6s
Epoch 27/100, Train Loss: 0.0894, Val Loss: 0.0952,  Time: 0min 14.6s
Epoch 28/100, Train Loss: 0.0852, Val Loss: 0.0944,  Time: 0min 14.6s
Epoch 29/100, Train Loss: 0.0825, Val Loss: 0.0884,  Time: 0min 14.6s
Epoch 30/100, Train Loss: 0.0798, Val Loss: 0.0893,  Time: 0min 14.6s
Epoch 31/100, Train Loss: 0.0761, Val Loss: 0.0883,  Time: 0min 14.7s
Epoch 32/100, Train Loss: 0.0734, Val Loss: 0.0846,  Time: 0min 14.6s
Epoch 33/100, Train Loss: 0.0717, Val Loss: 0.0838,  Time: 0min 14.7s
Epoch 34/100, Train Loss: 0.0690, Val Loss: 0.0832,  Time: 0min 14.6s
Epoch 35/100, Train Loss: 0.0653, Val Loss: 0.0817,  Time: 0min 14.6s
Epoch 36/100, Train Loss: 0.0643, Val Loss: 0.0856,  Time: 0min 14.6s
Epoch 37/100, Train Loss: 0.0626, Val Loss: 0.0835,  Time: 0min 14.6s
Epoch 38/100, Train Loss: 0.0606, Val Loss: 0.0802,  Time: 0min 14.6s
Epoch 39/100, Train Loss: 0.0577, Val Loss: 0.0796,  Time: 0min 14.6s
Epoch 40/100, Train Loss: 0.0557, Val Loss: 0.0806,  Time: 0min 14.6s
Epoch 41/100, Train Loss: 0.0537, Val Loss: 0.0787,  Time: 0min 14.6s
Epoch 42/100, Train Loss: 0.0513, Val Loss: 0.0813,  Time: 0min 14.7s
Epoch 43/100, Train Loss: 0.0505, Val Loss: 0.0809,  Time: 0min 14.7s
Epoch 44/100, Train Loss: 0.0489, Val Loss: 0.0851,  Time: 0min 14.7s
Epoch 45/100, Train Loss: 0.0475, Val Loss: 0.0803,  Time: 0min 14.6s
Epoch 46/100, Train Loss: 0.0444, Val Loss: 0.0827,  Time: 0min 14.6s
Epoch 47/100, Train Loss: 0.0436, Val Loss: 0.0805,  Time: 0min 14.6s
Early stopping
