Epoch 70/100, Train Loss: 0.0764, Val Loss: 0.0838,  Time: 0min 26.9s
Epoch 71/100, Train Loss: 0.0767, Val Loss: 0.0842,  Time: 0min 26.8s
Epoch 72/100, Train Loss: 0.0745, Val Loss: 0.0833,  Time: 0min 26.8s
Epoch 73/100, Train Loss: 0.0744, Val Loss: 0.0832,  Time: 0min 26.8s
Epoch 74/100, Train Loss: 0.0725, Val Loss: 0.0816,  Time: 0min 26.8s
Epoch 75/100, Train Loss: 0.0730, Val Loss: 0.0813,  Time: 0min 26.8s
Epoch 76/100, Train Loss: 0.0716, Val Loss: 0.0824,  Time: 0min 26.8s
Epoch 77/100, Train Loss: 0.0710, Val Loss: 0.0808,  Time: 0min 26.9s
Epoch 78/100, Train Loss: 0.0698, Val Loss: 0.0840,  Time: 0min 26.8s
Epoch 79/100, Train Loss: 0.0690, Val Loss: 0.0826,  Time: 0min 26.9s
Epoch 80/100, Train Loss: 0.0677, Val Loss: 0.0814,  Time: 0min 26.9s
Epoch 81/100, Train Loss: 0.0672, Val Loss: 0.0828,  Time: 0min 26.8s
Epoch 82/100, Train Loss: 0.0660, Val Loss: 0.0811,  Time: 0min 26.9s
Epoch 83/100, Train Loss: 0.0655, Val Loss: 0.0807,  Time: 0min 26.9s
Epoch 84/100, Train Loss: 0.0651, Val Loss: 0.0823,  Time: 0min 26.9s
Epoch 85/100, Train Loss: 0.0633, Val Loss: 0.0819,  Time: 0min 26.8s
Epoch 86/100, Train Loss: 0.0632, Val Loss: 0.0837,  Time: 0min 26.9s
Epoch 87/100, Train Loss: 0.0621, Val Loss: 0.0829,  Time: 0min 26.8s
Epoch 88/100, Train Loss: 0.0619, Val Loss: 0.0829,  Time: 0min 26.9s
Epoch 89/100, Train Loss: 0.0598, Val Loss: 0.0857,  Time: 0min 26.9s
Early stopping
