Epoch 1/100, Train Loss: 2.4622, Val Loss: 1.7501,  Time: 0min 15.1s
Epoch 2/100, Train Loss: 1.8771, Val Loss: 1.6421,  Time: 0min 14.6s
Epoch 3/100, Train Loss: 1.5388, Val Loss: 1.2190,  Time: 0min 14.6s
Epoch 4/100, Train Loss: 1.2353, Val Loss: 1.0760,  Time: 0min 14.6s
Epoch 5/100, Train Loss: 0.9807, Val Loss: 0.8493,  Time: 0min 14.6s
Epoch 6/100, Train Loss: 0.7939, Val Loss: 0.6373,  Time: 0min 14.6s
Epoch 7/100, Train Loss: 0.6434, Val Loss: 0.5051,  Time: 0min 14.6s
Epoch 8/100, Train Loss: 0.5190, Val Loss: 0.4156,  Time: 0min 14.6s
Epoch 9/100, Train Loss: 0.4394, Val Loss: 0.3674,  Time: 0min 14.6s
Epoch 10/100, Train Loss: 0.3846, Val Loss: 0.3049,  Time: 0min 14.6s
Epoch 11/100, Train Loss: 0.3357, Val Loss: 0.2736,  Time: 0min 14.6s
Epoch 12/100, Train Loss: 0.3001, Val Loss: 0.2448,  Time: 0min 14.6s
Epoch 13/100, Train Loss: 0.2721, Val Loss: 0.2244,  Time: 0min 14.6s
Epoch 14/100, Train Loss: 0.2530, Val Loss: 0.2101,  Time: 0min 14.7s
Epoch 15/100, Train Loss: 0.2327, Val Loss: 0.1949,  Time: 0min 14.7s
Epoch 16/100, Train Loss: 0.2175, Val Loss: 0.1842,  Time: 0min 14.7s
Epoch 17/100, Train Loss: 0.2044, Val Loss: 0.1742,  Time: 0min 14.6s
Epoch 18/100, Train Loss: 0.1924, Val Loss: 0.1637,  Time: 0min 14.6s
Epoch 19/100, Train Loss: 0.1851, Val Loss: 0.1586,  Time: 0min 14.6s
Epoch 20/100, Train Loss: 0.1769, Val Loss: 0.1513,  Time: 0min 14.6s
Epoch 21/100, Train Loss: 0.1696, Val Loss: 0.1465,  Time: 0min 14.6s
Epoch 22/100, Train Loss: 0.1620, Val Loss: 0.1411,  Time: 0min 14.6s
Epoch 23/100, Train Loss: 0.1562, Val Loss: 0.1364,  Time: 0min 14.6s
Epoch 24/100, Train Loss: 0.1497, Val Loss: 0.1328,  Time: 0min 14.6s
Epoch 25/100, Train Loss: 0.1439, Val Loss: 0.1303,  Time: 0min 14.6s
Epoch 26/100, Train Loss: 0.1394, Val Loss: 0.1259,  Time: 0min 14.6s
Epoch 27/100, Train Loss: 0.1354, Val Loss: 0.1231,  Time: 0min 14.6s
Epoch 28/100, Train Loss: 0.1324, Val Loss: 0.1193,  Time: 0min 14.6s
Epoch 29/100, Train Loss: 0.1288, Val Loss: 0.1171,  Time: 0min 14.6s
Epoch 30/100, Train Loss: 0.1248, Val Loss: 0.1149,  Time: 0min 14.6s
Epoch 31/100, Train Loss: 0.1229, Val Loss: 0.1120,  Time: 0min 14.7s
Epoch 32/100, Train Loss: 0.1206, Val Loss: 0.1115,  Time: 0min 14.6s
Epoch 33/100, Train Loss: 0.1165, Val Loss: 0.1077,  Time: 0min 14.7s
Epoch 34/100, Train Loss: 0.1144, Val Loss: 0.1075,  Time: 0min 14.7s
Epoch 35/100, Train Loss: 0.1115, Val Loss: 0.1056,  Time: 0min 14.6s
Epoch 36/100, Train Loss: 0.1099, Val Loss: 0.1024,  Time: 0min 14.6s
Epoch 37/100, Train Loss: 0.1079, Val Loss: 0.1006,  Time: 0min 14.6s
Epoch 38/100, Train Loss: 0.1055, Val Loss: 0.0988,  Time: 0min 14.6s
Epoch 39/100, Train Loss: 0.1024, Val Loss: 0.0967,  Time: 0min 14.6s
Epoch 40/100, Train Loss: 0.1001, Val Loss: 0.0952,  Time: 0min 14.6s
Epoch 41/100, Train Loss: 0.0977, Val Loss: 0.0920,  Time: 0min 14.6s
Epoch 42/100, Train Loss: 0.0979, Val Loss: 0.0908,  Time: 0min 14.6s
Epoch 43/100, Train Loss: 0.0949, Val Loss: 0.0918,  Time: 0min 14.6s
Epoch 44/100, Train Loss: 0.0944, Val Loss: 0.0968,  Time: 0min 14.6s
Epoch 45/100, Train Loss: 0.0932, Val Loss: 0.0884,  Time: 0min 14.7s
Epoch 46/100, Train Loss: 0.0910, Val Loss: 0.0881,  Time: 0min 14.7s
Epoch 47/100, Train Loss: 0.0891, Val Loss: 0.0870,  Time: 0min 14.7s
Epoch 48/100, Train Loss: 0.0888, Val Loss: 0.0850,  Time: 0min 14.7s
Epoch 49/100, Train Loss: 0.0866, Val Loss: 0.0847,  Time: 0min 14.6s
Epoch 50/100, Train Loss: 0.0859, Val Loss: 0.0840,  Time: 0min 14.6s
Epoch 51/100, Train Loss: 0.0844, Val Loss: 0.0831,  Time: 0min 14.6s
Epoch 52/100, Train Loss: 0.0838, Val Loss: 0.0823,  Time: 0min 14.7s
Epoch 53/100, Train Loss: 0.0821, Val Loss: 0.0824,  Time: 0min 14.7s
Epoch 54/100, Train Loss: 0.0814, Val Loss: 0.0844,  Time: 0min 14.6s
Epoch 55/100, Train Loss: 0.0807, Val Loss: 0.0832,  Time: 0min 14.6s
Epoch 56/100, Train Loss: 0.0788, Val Loss: 0.0806,  Time: 0min 14.6s
Epoch 57/100, Train Loss: 0.0778, Val Loss: 0.0805,  Time: 0min 14.6s
Epoch 58/100, Train Loss: 0.0776, Val Loss: 0.0792,  Time: 0min 14.6s
Epoch 59/100, Train Loss: 0.0766, Val Loss: 0.0800,  Time: 0min 14.6s
Epoch 60/100, Train Loss: 0.0759, Val Loss: 0.0792,  Time: 0min 14.6s
Epoch 61/100, Train Loss: 0.0736, Val Loss: 0.0779,  Time: 0min 14.6s
Epoch 62/100, Train Loss: 0.0738, Val Loss: 0.0799,  Time: 0min 14.6s
Epoch 63/100, Train Loss: 0.0729, Val Loss: 0.0769,  Time: 0min 14.6s
Epoch 64/100, Train Loss: 0.0707, Val Loss: 0.0768,  Time: 0min 14.6s
Epoch 65/100, Train Loss: 0.0706, Val Loss: 0.0772,  Time: 0min 14.6s
Epoch 66/100, Train Loss: 0.0692, Val Loss: 0.0777,  Time: 0min 14.6s
Epoch 67/100, Train Loss: 0.0687, Val Loss: 0.0774,  Time: 0min 14.6s
Epoch 68/100, Train Loss: 0.0676, Val Loss: 0.0761,  Time: 0min 14.6s
Epoch 69/100, Train Loss: 0.0658, Val Loss: 0.0760,  Time: 0min 14.6s
Epoch 70/100, Train Loss: 0.0663, Val Loss: 0.0756,  Time: 0min 14.6s
Epoch 71/100, Train Loss: 0.0648, Val Loss: 0.0748,  Time: 0min 14.7s
Epoch 72/100, Train Loss: 0.0638, Val Loss: 0.0763,  Time: 0min 14.6s
Epoch 73/100, Train Loss: 0.0623, Val Loss: 0.0774,  Time: 0min 14.6s
Epoch 74/100, Train Loss: 0.0627, Val Loss: 0.0746,  Time: 0min 14.6s
Epoch 75/100, Train Loss: 0.0615, Val Loss: 0.0752,  Time: 0min 14.7s
Epoch 76/100, Train Loss: 0.0605, Val Loss: 0.0753,  Time: 0min 14.6s
Epoch 77/100, Train Loss: 0.0596, Val Loss: 0.0760,  Time: 0min 14.6s
Epoch 78/100, Train Loss: 0.0579, Val Loss: 0.0772,  Time: 0min 14.6s
Epoch 79/100, Train Loss: 0.0564, Val Loss: 0.0749,  Time: 0min 14.6s
Epoch 80/100, Train Loss: 0.0560, Val Loss: 0.0774,  Time: 0min 14.6s
Early stopping
