Epoch 1/100, Train Loss: 2.7148, Val Loss: 2.2958,  Time: 0min 18.4s
Epoch 2/100, Train Loss: 2.1255, Val Loss: 1.9208,  Time: 0min 14.6s
Epoch 3/100, Train Loss: 1.7377, Val Loss: 1.5302,  Time: 0min 14.6s
Epoch 4/100, Train Loss: 1.4057, Val Loss: 1.2575,  Time: 0min 14.6s
Epoch 5/100, Train Loss: 1.1342, Val Loss: 1.0435,  Time: 0min 14.6s
Epoch 6/100, Train Loss: 0.9078, Val Loss: 0.8146,  Time: 0min 14.6s
Epoch 7/100, Train Loss: 0.7351, Val Loss: 0.6294,  Time: 0min 14.6s
Epoch 8/100, Train Loss: 0.5978, Val Loss: 0.5202,  Time: 0min 14.6s
Epoch 9/100, Train Loss: 0.4948, Val Loss: 0.4225,  Time: 0min 14.6s
Epoch 10/100, Train Loss: 0.4197, Val Loss: 0.3522,  Time: 0min 14.6s
Epoch 11/100, Train Loss: 0.3497, Val Loss: 0.3003,  Time: 0min 14.7s
Epoch 12/100, Train Loss: 0.3030, Val Loss: 0.2495,  Time: 0min 14.6s
Epoch 13/100, Train Loss: 0.2654, Val Loss: 0.2303,  Time: 0min 14.6s
Epoch 14/100, Train Loss: 0.2369, Val Loss: 0.2028,  Time: 0min 14.6s
Epoch 15/100, Train Loss: 0.2133, Val Loss: 0.1872,  Time: 0min 14.6s
Epoch 16/100, Train Loss: 0.1976, Val Loss: 0.1777,  Time: 0min 14.6s
Epoch 17/100, Train Loss: 0.1832, Val Loss: 0.1617,  Time: 0min 14.6s
Epoch 18/100, Train Loss: 0.1721, Val Loss: 0.1524,  Time: 0min 14.6s
Epoch 19/100, Train Loss: 0.1613, Val Loss: 0.1453,  Time: 0min 14.6s
Epoch 20/100, Train Loss: 0.1525, Val Loss: 0.1377,  Time: 0min 14.6s
Epoch 21/100, Train Loss: 0.1431, Val Loss: 0.1288,  Time: 0min 14.6s
Epoch 22/100, Train Loss: 0.1357, Val Loss: 0.1215,  Time: 0min 14.6s
Epoch 23/100, Train Loss: 0.1280, Val Loss: 0.1211,  Time: 0min 14.6s
Epoch 24/100, Train Loss: 0.1232, Val Loss: 0.1126,  Time: 0min 14.6s
Epoch 25/100, Train Loss: 0.1189, Val Loss: 0.1126,  Time: 0min 14.6s
Epoch 26/100, Train Loss: 0.1143, Val Loss: 0.1048,  Time: 0min 14.6s
Epoch 27/100, Train Loss: 0.1107, Val Loss: 0.1043,  Time: 0min 14.6s
Epoch 28/100, Train Loss: 0.1064, Val Loss: 0.1020,  Time: 0min 14.6s
Epoch 29/100, Train Loss: 0.1039, Val Loss: 0.0980,  Time: 0min 14.6s
Epoch 30/100, Train Loss: 0.0994, Val Loss: 0.0959,  Time: 0min 14.6s
Epoch 31/100, Train Loss: 0.0978, Val Loss: 0.0951,  Time: 0min 14.6s
Epoch 32/100, Train Loss: 0.0953, Val Loss: 0.0926,  Time: 0min 14.6s
Epoch 33/100, Train Loss: 0.0923, Val Loss: 0.0894,  Time: 0min 14.6s
Epoch 34/100, Train Loss: 0.0907, Val Loss: 0.0887,  Time: 0min 14.6s
Epoch 35/100, Train Loss: 0.0878, Val Loss: 0.0898,  Time: 0min 14.6s
Epoch 36/100, Train Loss: 0.0867, Val Loss: 0.0873,  Time: 0min 14.6s
Epoch 37/100, Train Loss: 0.0844, Val Loss: 0.0838,  Time: 0min 14.6s
Epoch 38/100, Train Loss: 0.0824, Val Loss: 0.0851,  Time: 0min 14.6s
Epoch 39/100, Train Loss: 0.0808, Val Loss: 0.0866,  Time: 0min 14.6s
Epoch 40/100, Train Loss: 0.0795, Val Loss: 0.0827,  Time: 0min 14.6s
Epoch 41/100, Train Loss: 0.0781, Val Loss: 0.0813,  Time: 0min 14.6s
Epoch 42/100, Train Loss: 0.0763, Val Loss: 0.0829,  Time: 0min 14.6s
Epoch 43/100, Train Loss: 0.0744, Val Loss: 0.0813,  Time: 0min 14.6s
Epoch 44/100, Train Loss: 0.0736, Val Loss: 0.0791,  Time: 0min 14.6s
Epoch 45/100, Train Loss: 0.0724, Val Loss: 0.0795,  Time: 0min 14.6s
Epoch 46/100, Train Loss: 0.0699, Val Loss: 0.0779,  Time: 0min 14.6s
Epoch 47/100, Train Loss: 0.0691, Val Loss: 0.0790,  Time: 0min 14.6s
Epoch 48/100, Train Loss: 0.0683, Val Loss: 0.0791,  Time: 0min 14.6s
Epoch 49/100, Train Loss: 0.0668, Val Loss: 0.0763,  Time: 0min 14.6s
Epoch 50/100, Train Loss: 0.0661, Val Loss: 0.0777,  Time: 0min 14.6s
Epoch 51/100, Train Loss: 0.0642, Val Loss: 0.0778,  Time: 0min 14.6s
Epoch 52/100, Train Loss: 0.0630, Val Loss: 0.0774,  Time: 0min 14.6s
Epoch 53/100, Train Loss: 0.0607, Val Loss: 0.0773,  Time: 0min 14.6s
Epoch 54/100, Train Loss: 0.0609, Val Loss: 0.0774,  Time: 0min 14.6s
Epoch 55/100, Train Loss: 0.0596, Val Loss: 0.0789,  Time: 0min 14.6s
Early stopping
