Epoch 1/100, Train Loss: 3.3243, Train Acc: 3.70%, Val Loss: 3.3916, Val Acc: 0.00%, Time: 0min 4.6s
Epoch 2/100, Train Loss: 3.1005, Train Acc: 3.36%, Val Loss: 3.1895, Val Acc: 0.04%, Time: 0min 3.5s
Epoch 3/100, Train Loss: 2.8421, Train Acc: 3.24%, Val Loss: 2.7272, Val Acc: 0.00%, Time: 0min 3.5s
Epoch 4/100, Train Loss: 2.6333, Train Acc: 2.12%, Val Loss: 2.3249, Val Acc: 0.00%, Time: 0min 3.5s
Epoch 5/100, Train Loss: 2.5380, Train Acc: 1.03%, Val Loss: 2.1399, Val Acc: 0.00%, Time: 0min 3.5s
Epoch 6/100, Train Loss: 2.3991, Train Acc: 0.59%, Val Loss: 2.0749, Val Acc: 0.01%, Time: 0min 3.5s
Epoch 7/100, Train Loss: 2.2991, Train Acc: 0.40%, Val Loss: 2.0659, Val Acc: 0.01%, Time: 0min 3.5s
Epoch 8/100, Train Loss: 2.1975, Train Acc: 0.30%, Val Loss: 2.0278, Val Acc: 0.01%, Time: 0min 3.5s
Epoch 9/100, Train Loss: 2.1339, Train Acc: 0.38%, Val Loss: 2.0046, Val Acc: 0.01%, Time: 0min 3.5s
Epoch 10/100, Train Loss: 2.0735, Train Acc: 0.59%, Val Loss: 1.9944, Val Acc: 0.06%, Time: 0min 3.5s
Epoch 11/100, Train Loss: 1.9943, Train Acc: 0.26%, Val Loss: 1.9072, Val Acc: 0.15%, Time: 0min 3.5s
Epoch 12/100, Train Loss: 1.8802, Train Acc: 0.33%, Val Loss: 1.9518, Val Acc: 0.19%, Time: 0min 3.5s
Epoch 13/100, Train Loss: 1.8108, Train Acc: 0.22%, Val Loss: 1.9635, Val Acc: 0.25%, Time: 0min 3.5s
Epoch 14/100, Train Loss: 1.7956, Train Acc: 0.33%, Val Loss: 1.9705, Val Acc: 0.47%, Time: 0min 3.5s
Epoch 15/100, Train Loss: 1.6836, Train Acc: 0.39%, Val Loss: 1.8329, Val Acc: 0.61%, Time: 0min 3.5s
Epoch 16/100, Train Loss: 1.6242, Train Acc: 0.73%, Val Loss: 1.5893, Val Acc: 0.48%, Time: 0min 3.5s
Epoch 17/100, Train Loss: 1.5991, Train Acc: 1.10%, Val Loss: 1.7318, Val Acc: 1.73%, Time: 0min 3.5s
Epoch 18/100, Train Loss: 1.4910, Train Acc: 1.33%, Val Loss: 1.5083, Val Acc: 1.17%, Time: 0min 3.5s
Epoch 19/100, Train Loss: 1.4448, Train Acc: 2.27%, Val Loss: 1.5263, Val Acc: 4.36%, Time: 0min 3.5s
Epoch 20/100, Train Loss: 1.3711, Train Acc: 3.01%, Val Loss: 1.4500, Val Acc: 8.07%, Time: 0min 3.5s
Epoch 21/100, Train Loss: 1.3104, Train Acc: 3.45%, Val Loss: 1.3134, Val Acc: 7.39%, Time: 0min 3.5s
Epoch 22/100, Train Loss: 1.2586, Train Acc: 5.12%, Val Loss: 1.3249, Val Acc: 11.60%, Time: 0min 3.5s
Epoch 23/100, Train Loss: 1.1944, Train Acc: 6.62%, Val Loss: 1.1652, Val Acc: 6.84%, Time: 0min 3.5s
Epoch 24/100, Train Loss: 1.1559, Train Acc: 6.58%, Val Loss: 1.1250, Val Acc: 10.27%, Time: 0min 3.5s
Epoch 25/100, Train Loss: 1.1159, Train Acc: 10.07%, Val Loss: 1.1085, Val Acc: 11.94%, Time: 0min 3.5s
Epoch 26/100, Train Loss: 1.0736, Train Acc: 10.35%, Val Loss: 1.0499, Val Acc: 10.80%, Time: 0min 3.5s
Epoch 27/100, Train Loss: 1.0017, Train Acc: 9.68%, Val Loss: 0.9690, Val Acc: 6.68%, Time: 0min 3.5s
Epoch 28/100, Train Loss: 0.9518, Train Acc: 13.92%, Val Loss: 0.9046, Val Acc: 5.22%, Time: 0min 3.5s
Epoch 29/100, Train Loss: 0.9355, Train Acc: 13.20%, Val Loss: 0.8542, Val Acc: 5.35%, Time: 0min 3.5s
Epoch 30/100, Train Loss: 0.8968, Train Acc: 14.82%, Val Loss: 0.8799, Val Acc: 17.08%, Time: 0min 3.5s
Epoch 31/100, Train Loss: 0.8375, Train Acc: 15.59%, Val Loss: 0.8183, Val Acc: 16.49%, Time: 0min 3.5s
Epoch 32/100, Train Loss: 0.8019, Train Acc: 14.57%, Val Loss: 0.7329, Val Acc: 13.91%, Time: 0min 3.5s
Epoch 33/100, Train Loss: 0.7385, Train Acc: 15.70%, Val Loss: 0.6901, Val Acc: 11.58%, Time: 0min 3.5s
Epoch 34/100, Train Loss: 0.7150, Train Acc: 15.03%, Val Loss: 0.6550, Val Acc: 15.47%, Time: 0min 3.5s
Epoch 35/100, Train Loss: 0.7131, Train Acc: 16.65%, Val Loss: 1.7275, Val Acc: 21.42%, Time: 0min 3.5s
Epoch 36/100, Train Loss: 0.7025, Train Acc: 16.05%, Val Loss: 2.1242, Val Acc: 21.97%, Time: 0min 3.5s
Epoch 37/100, Train Loss: 0.6518, Train Acc: 15.91%, Val Loss: 0.6183, Val Acc: 19.26%, Time: 0min 3.5s
Epoch 38/100, Train Loss: 0.6193, Train Acc: 16.63%, Val Loss: 0.7068, Val Acc: 20.52%, Time: 0min 3.5s
Epoch 39/100, Train Loss: 0.5875, Train Acc: 16.41%, Val Loss: 0.6633, Val Acc: 20.23%, Time: 0min 3.5s
Epoch 40/100, Train Loss: 0.5827, Train Acc: 16.43%, Val Loss: 0.4968, Val Acc: 11.25%, Time: 0min 3.5s
Epoch 41/100, Train Loss: 0.5350, Train Acc: 16.60%, Val Loss: 0.4685, Val Acc: 15.24%, Time: 0min 3.5s
Epoch 42/100, Train Loss: 0.5129, Train Acc: 17.09%, Val Loss: 0.5547, Val Acc: 20.22%, Time: 0min 3.5s
Epoch 43/100, Train Loss: 0.4979, Train Acc: 15.82%, Val Loss: 0.4340, Val Acc: 17.80%, Time: 0min 3.5s
Epoch 44/100, Train Loss: 0.4864, Train Acc: 16.03%, Val Loss: 0.4364, Val Acc: 20.63%, Time: 0min 3.5s
Epoch 45/100, Train Loss: 0.4752, Train Acc: 16.83%, Val Loss: 0.4129, Val Acc: 20.21%, Time: 0min 3.5s
Epoch 46/100, Train Loss: 0.4683, Train Acc: 15.99%, Val Loss: 0.4229, Val Acc: 20.49%, Time: 0min 3.5s
Epoch 47/100, Train Loss: 0.4174, Train Acc: 17.18%, Val Loss: 0.7119, Val Acc: 20.24%, Time: 0min 3.5s
Epoch 48/100, Train Loss: 0.4209, Train Acc: 16.16%, Val Loss: 0.3922, Val Acc: 16.89%, Time: 0min 3.5s
Epoch 49/100, Train Loss: 0.3942, Train Acc: 14.45%, Val Loss: 0.3537, Val Acc: 14.88%, Time: 0min 3.5s
Epoch 50/100, Train Loss: 0.3815, Train Acc: 15.54%, Val Loss: 0.3446, Val Acc: 19.11%, Time: 0min 3.5s
Epoch 51/100, Train Loss: 0.3822, Train Acc: 15.37%, Val Loss: 0.4499, Val Acc: 20.81%, Time: 0min 3.5s
Epoch 52/100, Train Loss: 0.3651, Train Acc: 16.80%, Val Loss: 0.3270, Val Acc: 15.04%, Time: 0min 3.5s
Epoch 53/100, Train Loss: 0.3772, Train Acc: 16.13%, Val Loss: 0.3493, Val Acc: 24.26%, Time: 0min 3.5s
Epoch 54/100, Train Loss: 0.3547, Train Acc: 17.16%, Val Loss: 0.3186, Val Acc: 24.23%, Time: 0min 3.5s
Epoch 55/100, Train Loss: 0.3406, Train Acc: 16.51%, Val Loss: 0.3031, Val Acc: 14.67%, Time: 0min 3.5s
Epoch 56/100, Train Loss: 0.3354, Train Acc: 17.08%, Val Loss: 0.2953, Val Acc: 24.24%, Time: 0min 3.5s
Epoch 57/100, Train Loss: 0.3230, Train Acc: 18.24%, Val Loss: 0.2786, Val Acc: 16.26%, Time: 0min 3.5s
Epoch 58/100, Train Loss: 0.3231, Train Acc: 17.89%, Val Loss: 0.2827, Val Acc: 21.31%, Time: 0min 3.5s
Epoch 59/100, Train Loss: 0.3135, Train Acc: 16.91%, Val Loss: 0.2576, Val Acc: 19.15%, Time: 0min 3.5s
Epoch 60/100, Train Loss: 0.2946, Train Acc: 18.38%, Val Loss: 0.2721, Val Acc: 25.40%, Time: 0min 3.5s
Epoch 61/100, Train Loss: 0.2958, Train Acc: 18.47%, Val Loss: 0.2442, Val Acc: 21.95%, Time: 0min 3.5s
Epoch 62/100, Train Loss: 0.2798, Train Acc: 18.34%, Val Loss: 0.2476, Val Acc: 17.88%, Time: 0min 3.5s
Epoch 63/100, Train Loss: 0.2641, Train Acc: 19.95%, Val Loss: 0.2347, Val Acc: 18.83%, Time: 0min 3.5s
Epoch 64/100, Train Loss: 0.2733, Train Acc: 19.11%, Val Loss: 0.2887, Val Acc: 26.44%, Time: 0min 3.5s
Epoch 65/100, Train Loss: 0.2695, Train Acc: 18.47%, Val Loss: 0.2236, Val Acc: 18.92%, Time: 0min 3.5s
Epoch 66/100, Train Loss: 0.2647, Train Acc: 19.96%, Val Loss: 0.3329, Val Acc: 26.87%, Time: 0min 3.5s
Epoch 67/100, Train Loss: 0.2552, Train Acc: 20.00%, Val Loss: 0.2137, Val Acc: 20.20%, Time: 0min 3.5s
Epoch 68/100, Train Loss: 0.2366, Train Acc: 20.66%, Val Loss: 0.2151, Val Acc: 22.99%, Time: 0min 3.5s
Epoch 69/100, Train Loss: 0.2402, Train Acc: 20.41%, Val Loss: 0.3760, Val Acc: 23.99%, Time: 0min 3.5s
Epoch 70/100, Train Loss: 0.2502, Train Acc: 20.80%, Val Loss: 0.2031, Val Acc: 19.75%, Time: 0min 3.5s
Epoch 71/100, Train Loss: 0.2402, Train Acc: 21.45%, Val Loss: 0.2231, Val Acc: 26.00%, Time: 0min 3.5s
Epoch 72/100, Train Loss: 0.2177, Train Acc: 21.46%, Val Loss: 0.1900, Val Acc: 23.73%, Time: 0min 3.5s
Epoch 73/100, Train Loss: 0.2294, Train Acc: 22.11%, Val Loss: 0.2163, Val Acc: 26.63%, Time: 0min 3.5s
Epoch 74/100, Train Loss: 0.2166, Train Acc: 21.52%, Val Loss: 0.2148, Val Acc: 27.84%, Time: 0min 3.5s
Epoch 75/100, Train Loss: 0.2218, Train Acc: 23.25%, Val Loss: 0.1817, Val Acc: 24.08%, Time: 0min 3.5s
Epoch 76/100, Train Loss: 0.2154, Train Acc: 23.54%, Val Loss: 0.2155, Val Acc: 28.28%, Time: 0min 3.5s
Epoch 77/100, Train Loss: 0.2117, Train Acc: 23.63%, Val Loss: 0.1856, Val Acc: 19.40%, Time: 0min 3.5s
Epoch 78/100, Train Loss: 0.2095, Train Acc: 24.00%, Val Loss: 0.1962, Val Acc: 27.21%, Time: 0min 3.5s
